,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Of Dreams To Come,In My Element,Robert Glasper,2007-01-01,491466,29,0.892,0.436,0.432,0.822,0.119,-16.085,0.0543,111.638,3,0.133
1,Basin Street Blues,The Cat,Jimmy Smith,1998-01-01,239133,0,0.836,0.452,0.445,0.806,0.175,-13.832,0.0378,140.496,1,0.714
2,Makin' Whoopee - Take 1,Louis Armstrong - Ambassador Of Jazz,Louis Armstrong,2011-01-01,272533,0,0.775,0.591,0.196,0.0,0.541,-16.486,0.112,73.489,4,0.416
3,Birks' Works,Verve Jazz Masters 10: Dizzy Gillespie,Dizzy Gillespie,1994,297493,0,0.692,0.506,0.443,0.71,0.234,-9.237,0.0606,133.845,4,0.626
4,Time After Time,The Definitive John Coltrane On Prestige And Riverside,John Coltrane,2010-01-01,465106,0,0.947,0.555,0.237,0.602,0.145,-10.224,0.0388,91.553,4,0.338
5,I'm Just A Lucky So And So,So Much Guitar! [Original Jazz Classics Remasters],Wes Montgomery,2013-01-01,357440,9,0.886,0.604,0.296,0.663,0.0775,-16.361,0.0386,131.024,4,0.644
6,My Heart Stood Still,Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster),Chet Baker,2010-01-01,208613,0,0.824,0.631,0.326,0.000789,0.107,-12.448,0.0457,82.062,4,0.502
7,Reconciliation,Perceptual,Brian Blade,2000-01-01,404333,16,0.912,0.368,0.149,0.901,0.0836,-15.006,0.0325,121.287,4,0.102
8,Solitude,Duke Ellington Meets Coleman Hawkins,Duke Ellington,1995-01-01,351093,11,0.945,0.453,0.172,0.00241,0.0899,-15.146,0.0415,77.6,4,0.425
9,Have You Heard,Letter From Home,Pat Metheny Group,1989-01-01,385760,25,0.897,0.532,0.328,0.0727,0.355,-16.273,0.031,151.334,4,0.508
10,Simply Beautiful,While You Were Sleeping,José James,2014-01-01,293816,0,0.86,0.783,0.349,0.615,0.0956,-11.716,0.0413,118.029,4,0.21
11,Money,Heartland,Indra Rios-Moore,2015-02-16,249453,18,0.76,0.611,0.293,0.00109,0.116,-11.257,0.0305,106.139,1,0.246
12,It Never Entered My Mind,The Definitive Miles Davis on Prestige,Miles Davis,2011-01-01,326680,3,0.865,0.454,0.181,5.29e-05,0.129,-12.387,0.0331,115.298,4,0.0963
13,Swingin' The Blues,Count Basie: Verve Ultimate Cool,Count Basie,2013-01-01,166426,7,0.743,0.753,0.573,0.00276,0.337,-10.189,0.191,112.913,4,0.579
14,Torrid Zone,Jazz Rock - Verve 50,Various Artists,2013-01-01,520853,4,0.618,0.406,0.422,0.346,0.0946,-11.685,0.0328,123.781,4,0.395
15,Night Train,Acid Jazz - Verve 50,Various Artists,2012-01-01,405760,0,0.556,0.651,0.556,0.0219,0.101,-11.569,0.0487,132.448,4,0.62
16,Canadian Sunset,Boss Tenor (Rudy Van Gelder Remaster),Gene Ammons,2006-01-01,322546,0,0.796,0.616,0.293,0.816,0.105,-9.374,0.0493,138.822,4,0.569
17,Witch Craft,Portrait In Jazz [Keepnews Collection],Bill Evans,1960,277720,0,0.964,0.648,0.131,0.849,0.124,-19.42,0.0496,91.708,4,0.494
18,"Just You, Just Me - Remastered 1999",After Midnight: The Complete Session,Nat King Cole,1999-01-01,182293,25,0.81,0.493,0.474,0.000342,0.0887,-9.817,0.071,203.464,4,0.712
19,I Can't Get Started,Lester Young With The Oscar Peterson Trio (Originals International Version),Lester Young,2005-01-01,219000,0,0.988,0.589,0.0247,0.135,0.106,-19.303,0.0726,116.056,4,0.205
20,You Touch My Brain,My Old Friend: Celebrating George Duke,Al Jarreau,2014-01-01,284626,13,0.22,0.766,0.462,1.96e-05,0.09,-9.052,0.048,85.004,4,0.414
21,"Love Song From ""Apache""",Coleman Hawkins: Verve Ultimate Cool,Coleman Hawkins,2013-01-01,254360,22,0.984,0.468,0.0327,0.0792,0.099,-16.654,0.0452,122.807,1,0.253
22,Satin Doll,The Soul Of Ben Webster,Ben Webster,1995-01-01,304133,0,0.905,0.59,0.109,0.243,0.0987,-15.448,0.0579,84.517,4,0.305
23,Coal Train,The Soul Of Ben Webster,Ben Webster,1995-01-01,250026,0,0.639,0.567,0.369,0.0304,0.0387,-12.927,0.054,109.026,4,0.653
24,Moment's Notice - Rudy Van Gelder Edition/2003 Digital Remaster/24-Bit Mastering,Blue Train (Expanded Edition),John Coltrane,1958,550760,42,0.731,0.509,0.606,0.00361,0.256,-7.621,0.0365,123.351,4,0.794
25,Shuffle Montgomery,The Complete Blue Note Recordings Of Herbie Nichols,Herbie Nichols,1997-01-01,253400,5,0.74,0.69,0.261,0.0476,0.108,-18.687,0.0435,93.137,4,0.726
